"Jul 26, 2019 13:31:23.478117000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:23.523202000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:23.563507000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:23.589601000 AEST","90:dd:5d:44:9d:33","uniwide", ainsworth
"Jul 26, 2019 13:31:23.620312000 AEST","90:dd:5d:44:9d:33","uniwide", ainsworth
"Jul 26, 2019 13:31:24.089497000 AEST","da:1a:e4:9c:fa:2c","", ainsworth
"Jul 26, 2019 13:31:24.111235000 AEST","da:1a:e4:9c:fa:2c","", ainsworth
"Jul 26, 2019 13:31:27.055100000 AEST","d8:1c:79:b4:81:f2","uniwide", ainsworth
"Jul 26, 2019 13:31:27.057564000 AEST","c0:1a:da:11:00:d2","uniwide", ainsworth
"Jul 26, 2019 13:31:27.067783000 AEST","c0:1a:da:11:00:d2","uniwide", ainsworth
"Jul 26, 2019 13:31:27.078336000 AEST","d8:1c:79:b4:81:f2","uniwide", ainsworth
"Jul 26, 2019 13:31:27.128885000 AEST","66:cb:6c:c5:e6:44","", ainsworth
"Jul 26, 2019 13:31:27.149377000 AEST","66:cb:6c:c5:e6:44","", ainsworth
"Jul 26, 2019 13:31:27.170742000 AEST","66:cb:6c:c5:e6:44","", ainsworth
"Jul 26, 2019 13:31:27.191265000 AEST","66:cb:6c:c5:e6:44","", ainsworth
"Jul 26, 2019 13:31:27.248573000 AEST","22:07:f9:6e:38:a3","", ainsworth
"Jul 26, 2019 13:31:27.291593000 AEST","22:07:f9:6e:38:a3","", ainsworth
"Jul 26, 2019 13:31:27.520426000 AEST","a0:99:9b:21:25:0d","uniwide", ainsworth
"Jul 26, 2019 13:31:27.531087000 AEST","a0:99:9b:21:25:0d","uniwide", ainsworth
"Jul 26, 2019 13:31:27.673273000 AEST","1c:5c:f2:f1:b8:a9","eduroam", ainsworth
"Jul 26, 2019 13:31:27.723127000 AEST","12:76:30:e3:ed:2e","", ainsworth
"Jul 26, 2019 13:31:27.763318000 AEST","12:76:30:e3:ed:2e","", ainsworth
"Jul 26, 2019 13:31:27.805115000 AEST","12:76:30:e3:ed:2e","", ainsworth
"Jul 26, 2019 13:31:27.845319000 AEST","12:76:30:e3:ed:2e","", ainsworth
"Jul 26, 2019 13:31:27.853430000 AEST","a0:99:9b:21:25:0d","uniwide", ainsworth
"Jul 26, 2019 13:31:27.863832000 AEST","a0:99:9b:21:25:0d","uniwide", ainsworth
"Jul 26, 2019 13:31:28.474871000 AEST","a0:99:9b:21:25:0d","uniwide", ainsworth
"Jul 26, 2019 13:31:28.484598000 AEST","a0:99:9b:21:25:0d","uniwide", ainsworth
"Jul 26, 2019 13:31:30.868371000 AEST","16:e5:c9:6b:96:df","", ainsworth
"Jul 26, 2019 13:31:30.888552000 AEST","16:e5:c9:6b:96:df","", ainsworth
"Jul 26, 2019 13:31:30.910683000 AEST","16:e5:c9:6b:96:df","", ainsworth
"Jul 26, 2019 13:31:30.931096000 AEST","16:e5:c9:6b:96:df","", ainsworth
"Jul 26, 2019 13:31:31.639217000 AEST","58:40:4e:32:2b:db","uniwide", ainsworth
"Jul 26, 2019 13:31:31.650025000 AEST","58:40:4e:32:2b:db","uniwide", ainsworth
"Jul 26, 2019 13:31:32.156848000 AEST","74:b5:87:59:c9:a2","eduroam", ainsworth
"Jul 26, 2019 13:31:32.515009000 AEST","10:4e:00:00:16:4c",, ainsworth
"Jul 26, 2019 13:31:32.825884000 AEST","58:40:4e:32:2b:db","uniwide", ainsworth
"Jul 26, 2019 13:31:32.836288000 AEST","58:40:4e:32:2b:db","uniwide", ainsworth
"Jul 26, 2019 13:31:33.127407000 AEST","ca:29:ed:0e:94:b3","", ainsworth
"Jul 26, 2019 13:31:33.154087000 AEST","ca:29:ed:0e:94:b3","", ainsworth
"Jul 26, 2019 13:31:33.338718000 AEST","54:4e:90:4f:5b:f3","uniwide", ainsworth
"Jul 26, 2019 13:31:33.406549000 AEST","0a:72:82:94:82:41","", ainsworth
"Jul 26, 2019 13:31:33.425589000 AEST","0a:72:82:94:82:41","", ainsworth
"Jul 26, 2019 13:31:33.626837000 AEST","e6:02:ee:4a:3f:a9","", ainsworth
"Jul 26, 2019 13:31:33.647039000 AEST","e6:02:ee:4a:3f:a9","", ainsworth
"Jul 26, 2019 13:31:33.661969000 AEST","90:e1:7b:c1:d6:c3","uniwide", ainsworth
"Jul 26, 2019 13:31:33.681313000 AEST","90:e1:7b:c1:d6:c3","uniwide", ainsworth
"Jul 26, 2019 13:31:33.706836000 AEST","90:e1:7b:c1:d6:c3","uniwide", ainsworth
"Jul 26, 2019 13:31:33.728911000 AEST","90:e1:7b:c1:d6:c3","uniwide", ainsworth
"Jul 26, 2019 13:31:34.101063000 AEST","a0:99:9b:21:25:0d","uniwide", ainsworth
"Jul 26, 2019 13:31:34.111503000 AEST","a0:99:9b:21:25:0d","uniwide", ainsworth
"Jul 26, 2019 13:31:34.484187000 AEST","00:f9:d3:0a:90:05","", ainsworth
"Jul 26, 2019 13:31:34.675972000 AEST","7e:f7:90:0b:33:eb","", ainsworth
"Jul 26, 2019 13:31:34.696196000 AEST","7e:f7:90:0b:33:eb","", ainsworth
"Jul 26, 2019 13:31:34.720268000 AEST","7e:f7:90:0b:33:eb","", ainsworth
"Jul 26, 2019 13:31:34.740627000 AEST","7e:f7:90:0b:33:eb","", ainsworth
"Jul 26, 2019 13:31:34.853811000 AEST","f6:1f:5a:66:0b:2a","", ainsworth
"Jul 26, 2019 13:31:34.893933000 AEST","f6:1f:5a:66:0b:2a","\b`��PT�P��", ainsworth
"Jul 26, 2019 13:31:34.936031000 AEST","f6:1f:5a:66:0b:2a","", ainsworth
"Jul 26, 2019 13:31:34.976246000 AEST","f6:1f:5a:66:0b:2a","", ainsworth
"Jul 26, 2019 13:31:35.018552000 AEST","ce:8d:da:a4:24:a8","", ainsworth
"Jul 26, 2019 13:31:35.039333000 AEST","ce:8d:da:a4:24:a8","", ainsworth
"Jul 26, 2019 13:31:35.060495000 AEST","ce:8d:da:a4:24:a8","", ainsworth
"Jul 26, 2019 13:31:35.080953000 AEST","ce:8d:da:a4:24:a8","", ainsworth
"Jul 26, 2019 13:31:35.167813000 AEST","bc:54:36:06:b0:8c","uniwide", ainsworth
"Jul 26, 2019 13:31:35.177264000 AEST","bc:54:36:06:b0:8c","uniwide", ainsworth
"Jul 26, 2019 13:31:35.540260000 AEST","b8:c1:11:17:f9:e1","uniwide", ainsworth
"Jul 26, 2019 13:31:35.781169000 AEST","46:df:a3:4c:ed:6a","", ainsworth
"Jul 26, 2019 13:31:35.801262000 AEST","46:df:a3:4c:ed:6a","", ainsworth
"Jul 26, 2019 13:31:35.826244000 AEST","46:df:a3:4c:ed:6a","", ainsworth
"Jul 26, 2019 13:31:35.846217000 AEST","46:df:a3:4c:ed:6a","", ainsworth
"Jul 26, 2019 13:31:36.267488000 AEST","f8:da:0c:3d:6d:fb","uniwide", ainsworth
"Jul 26, 2019 13:31:36.277587000 AEST","f8:da:0c:3d:6d:fb","uniwide", ainsworth
"Jul 26, 2019 13:31:36.287810000 AEST","f8:da:0c:3d:6d:fb","uniwide", ainsworth
