frame.time,wlan.sa,wlan.ssid, seclab
"Jul 26, 2019 13:21:14.447145000 AEST","08:c5:e1:2e:33:a1","uniwide", seclab
"Jul 26, 2019 13:21:14.542187000 AEST","08:c5:e1:2e:33:a1","uniwide", seclab
"Jul 26, 2019 13:21:14.557746000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:14.562473000 AEST","08:c5:e1:2e:33:a1","uniwide", seclab
"Jul 26, 2019 13:21:14.590155000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:14.620045000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:15.384930000 AEST","a4:5e:60:bc:55:db","", seclab
"Jul 26, 2019 13:21:15.422665000 AEST","a4:5e:60:bc:55:db","", seclab
"Jul 26, 2019 13:21:15.467260000 AEST","a4:5e:60:bc:55:db","", seclab
"Jul 26, 2019 13:21:15.634744000 AEST","28:16:a8:6c:d8:fb","uniwide", seclab
"Jul 26, 2019 13:21:15.668147000 AEST","28:16:a8:6c:d8:fb","uniwide", seclab
"Jul 26, 2019 13:21:15.791164000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:21:15.810584000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:21:16.189905000 AEST","d4:6d:6d:68:f5:bf","uniwide", seclab
"Jul 26, 2019 13:21:16.192850000 AEST","d4:6d:6d:68:f5:bf","", seclab
"Jul 26, 2019 13:21:16.324852000 AEST","d4:6d:6d:68:f5:bf","uniwide", seclab
"Jul 26, 2019 13:21:16.355054000 AEST","d4:6d:6d:68:f5:bf","uniwide", seclab
"Jul 26, 2019 13:21:16.549596000 AEST","08:c5:e1:2e:33:a1","uniwide", seclab
"Jul 26, 2019 13:21:16.589782000 AEST","08:c5:e1:2e:33:a1","uniwide", seclab
"Jul 26, 2019 13:21:16.593651000 AEST","94:65:2d:b1:fa:28","", seclab
"Jul 26, 2019 13:21:16.613650000 AEST","94:65:2d:b1:fa:28","", seclab
"Jul 26, 2019 13:21:16.696559000 AEST","94:65:2d:b1:fa:28","", seclab
"Jul 26, 2019 13:21:16.716622000 AEST","94:65:2d:b1:fa:28","", seclab
"Jul 26, 2019 13:21:16.799688000 AEST","94:65:2d:b1:fa:28","", seclab
"Jul 26, 2019 13:21:16.819649000 AEST","94:65:2d:b1:fa:28","", seclab
"Jul 26, 2019 13:21:16.821149000 AEST","88:e9:fe:70:a1:61","", seclab
"Jul 26, 2019 13:21:16.832910000 AEST","88:e9:fe:70:a1:61","", seclab
